HeatNo,LFVD_AlloyWeight,LFVD_NonMetalInclusionsWeight
83958,1905,750
83959,1496,1020
83966,1077,770
83983,1395,610
83984,2007,490
83987,1137,620
84004,1247,530
84005,931,670
84025,525,820
84037,1149,760
84052,1457,600
84053,1363,710
84070,590,650
84072,1459,740
84093,1139,800
84094,1312,890
84102,1477,700
84103,666,860
84111,1015,760
84112,999,570
84129,684,880
84140,694,600
84146,1362,820
84147,1798,720
84148,1770,880
84153,1912,960
84154,1123,1310
84158,1479,940
84172,1852,830
84189,1282,870
84197,984,730
84212,953,760
84216,1189,1330
84228,1248,1150
84229,1290,870
84240,1117,1060
84249,2120,940
84256,768,590
84257,1128,1400
84272,822,940
84295,1415,1050
84302,1649,800
84318,1088,1020
84319,2477,1230
84320,1031,1100
84327,1330,1010
84329,2162,1030
84339,1109,1010
84354,517,905
84359,983,1070
84363,1975,1280
84386,1616,750
84410,1888,1532
84411,913,1160
84412,954,1080
84470,828,910
84481,2121,850
84493,1260,910
84495,855,950
84496,1157,890
84531,1105,770
84537,1012,660
84565,1582,1030
84585,1525,830
84586,905,690
84593,2109,940
84602,944,820
84618,1189,510
84619,1392,700
84647,524,820
84677,1299,990
84700,929,910
84726,2151,960
84765,1029,1000
84791,2132,1080
84800,1478,1140
84826,897,950
84827,1828,910
84864,2027,1220
84883,668,1020
84907,773,810
84916,2732,740
84926,1764,730
84940,1616,900
84944,1603,580
84946,1903,630
84947,1497,880
84962,1716,580
84970,2283,900
84971,2352,890
84976,1237,880
84977,479,620
85000,2496,880
85006,1929,670
85009,1704,940
85029,599,660
85036,1473,760
